date & time of start is : 2022-05-23 09:07:45
torch version is: 1.8.0
number of GPUs: 2
device: cuda:0
Total Trainable Params: 11.061 M
   training starts!
[Epc 1] tt: 0.842, cl_st: 0.530, cl_wk: 0.624, cn_st: 0.004, cn_wk: 0.000, st_vl: 0.292, t_vl: 0.316, t: 97s
[Epc 2] tt: 0.542, cl_st: 0.314, cl_wk: 0.453, cn_st: 0.030, cn_wk: 0.000, st_vl: 0.011, t_vl: 0.290, t: 98s
[Epc 3] tt: 0.434, cl_st: 0.237, cl_wk: 0.390, cn_st: 0.043, cn_wk: 0.000, st_vl: 0.000, t_vl: 0.163, t: 100s
[Epc 4] tt: 0.430, cl_st: 0.236, cl_wk: 0.385, cn_st: 0.027, cn_wk: 0.000, st_vl: 0.009, t_vl: 0.167, t: 100s
[Epc 5] tt: 0.422, cl_st: 0.230, cl_wk: 0.381, cn_st: 0.018, cn_wk: 0.000, st_vl: 0.001, t_vl: 0.064, t: 100s
[Epc 6] tt: 0.412, cl_st: 0.224, cl_wk: 0.373, cn_st: 0.013, cn_wk: 0.000, st_vl: 0.049, t_vl: 0.024, t: 100s
[Epc 7] tt: 0.402, cl_st: 0.218, cl_wk: 0.366, cn_st: 0.011, cn_wk: 0.000, st_vl: 0.044, t_vl: 0.025, t: 100s
[Epc 8] tt: 0.394, cl_st: 0.212, cl_wk: 0.362, cn_st: 0.011, cn_wk: 0.000, st_vl: 0.149, t_vl: 0.064, t: 100s
[Epc 9] tt: 0.388, cl_st: 0.208, cl_wk: 0.356, cn_st: 0.010, cn_wk: 0.000, st_vl: 0.221, t_vl: 0.027, t: 100s
[Epc 10] tt: 0.384, cl_st: 0.208, cl_wk: 0.350, cn_st: 0.010, cn_wk: 0.000, st_vl: 0.268, t_vl: 0.077, t: 100s
[Epc 11] tt: 0.373, cl_st: 0.201, cl_wk: 0.342, cn_st: 0.010, cn_wk: 0.000, st_vl: 0.258, t_vl: 0.045, t: 100s
[Epc 12] tt: 0.365, cl_st: 0.199, cl_wk: 0.328, cn_st: 0.012, cn_wk: 0.000, st_vl: 0.260, t_vl: 0.049, t: 100s
[Epc 13] tt: 0.361, cl_st: 0.201, cl_wk: 0.316, cn_st: 0.012, cn_wk: 0.000, st_vl: 0.252, t_vl: 0.075, t: 100s
[Epc 14] tt: 0.348, cl_st: 0.193, cl_wk: 0.304, cn_st: 0.013, cn_wk: 0.000, st_vl: 0.284, t_vl: 0.168, t: 100s
[Epc 15] tt: 0.333, cl_st: 0.183, cl_wk: 0.291, cn_st: 0.013, cn_wk: 0.000, st_vl: 0.383, t_vl: 0.202, t: 100s
[Epc 16] tt: 0.335, cl_st: 0.190, cl_wk: 0.282, cn_st: 0.013, cn_wk: 0.000, st_vl: 0.416, t_vl: 0.192, t: 100s
[Epc 17] tt: 0.322, cl_st: 0.182, cl_wk: 0.271, cn_st: 0.013, cn_wk: 0.000, st_vl: 0.552, t_vl: 0.216, t: 100s
[Epc 18] tt: 0.318, cl_st: 0.178, cl_wk: 0.267, cn_st: 0.012, cn_wk: 0.000, st_vl: 0.521, t_vl: 0.282, t: 100s
[Epc 19] tt: 0.308, cl_st: 0.175, cl_wk: 0.250, cn_st: 0.012, cn_wk: 0.000, st_vl: 0.568, t_vl: 0.313, t: 100s
[Epc 20] tt: 0.305, cl_st: 0.176, cl_wk: 0.244, cn_st: 0.011, cn_wk: 0.000, st_vl: 0.626, t_vl: 0.337, t: 100s
[Epc 21] tt: 0.290, cl_st: 0.166, cl_wk: 0.229, cn_st: 0.011, cn_wk: 0.000, st_vl: 0.822, t_vl: 0.327, t: 100s
[Epc 22] tt: 0.298, cl_st: 0.171, cl_wk: 0.236, cn_st: 0.010, cn_wk: 0.000, st_vl: 0.815, t_vl: 0.354, t: 100s
[Epc 23] tt: 0.292, cl_st: 0.166, cl_wk: 0.235, cn_st: 0.010, cn_wk: 0.000, st_vl: 0.707, t_vl: 0.430, t: 100s
[Epc 24] tt: 0.281, cl_st: 0.164, cl_wk: 0.214, cn_st: 0.010, cn_wk: 0.000, st_vl: 0.835, t_vl: 0.532, t: 100s
[Epc 25] tt: 0.278, cl_st: 0.159, cl_wk: 0.219, cn_st: 0.009, cn_wk: 0.000, st_vl: 0.802, t_vl: 0.582, t: 100s
[Epc 26] tt: 0.271, cl_st: 0.156, cl_wk: 0.208, cn_st: 0.009, cn_wk: 0.000, st_vl: 0.834, t_vl: 0.645, t: 100s
[Epc 27] tt: 0.273, cl_st: 0.157, cl_wk: 0.207, cn_st: 0.009, cn_wk: 0.000, st_vl: 0.977, t_vl: 0.723, t: 100s
[Epc 28] tt: 0.268, cl_st: 0.153, cl_wk: 0.205, cn_st: 0.009, cn_wk: 0.000, st_vl: 0.862, t_vl: 0.724, t: 100s
[Epc 29] tt: 0.272, cl_st: 0.154, cl_wk: 0.211, cn_st: 0.008, cn_wk: 0.000, st_vl: 0.886, t_vl: 0.818, t: 100s
[Epc 30] tt: 0.275, cl_st: 0.158, cl_wk: 0.207, cn_st: 0.008, cn_wk: 0.000, st_vl: 0.957, t_vl: 0.812, t: 100s
